Kateqoriya,Sual,Cavab
Elektron hesab səhifəsi,Elektron hesab səhifəsi nədir?,"Gömrük rüsumları, alınması gömrük orqanlarına həvalə edilmiş vergilər, dəbbə pulu, gömrük yığımları, inzibati cərimələr və digər ödənişlər üzrə büdcə ilə qarşılıqlı hesablaşmaların vəziyyətini vahid məkanda birləşdirən elektron xidmətdir."
Elektron hesab səhifəsi,Xarici iqtisadi fəaliyyət iştirakçısının elektron hesab səhifəsində olan balansı necə formalaşır?,"Şəxsin balansı artıq ödəmələrdən, avans-gömrük ödənişlərindən və ƏDV depozit hesabından aparılan əməliyyatlardan formalaşır."
Elektron hesab səhifəsi,Müxtəlif gömrük idarələrində avans hesablarda olan qalıq vəsaitlər elektron hesab səhifəsində necə əks etdirilir?,"The remaining funds in advance accounts at different customs offices are reflected in the ""Overpayment"" section of the electronic account page according to the type of payment (customs payment) that was previously paid to the state budget."
Elektron hesab səhifəsi,Avans-gömrük ödənişləri nədən formalaşır?,Şəxsin hökumət ödəniş portalının Dövlət Gömrük Komitəsi üzrə VÖEN-Avans bölməsindən və Banklardan ödəniş tapşırığına əsasən sair daxilolmalar üzrə dövlət büdcəsinə apardığı ödnişlərdən formalaşır. Qeyd: Banklardan ödəniş tapşırığı əsasında aparılan sair ödənişlərin anında balansda əks olunması üçün banklardan ödənişin hökumət ödəniş portalı üzərindən aparılmasının tələb olunması tövsiyyə olunur.
Elektron hesab səhifəsi,Yaranmış gömrük borcu xarici iqtisadi fəaliyyət iştirakçısının elektron hesab səhifəsindən hansı ardıcıllıqla silinir?,Gömrük ödənişlərinin növləri üzrə yaranmış gömrük borcu həmin tədiyyə növü üzrə artıq ödəniş olduğu təqdirdə ilkin olaraq artıq ödəmələrdən silinir. Daha sonra gömrük borcunun silinməsi aşağıdakı ardıcıllıqla aparılır: 1.Gömrük rüsumları (Avans-Gömrük ödənişlərindən); 2.Aksiz vergisi (Avans-Gömrük ödənişlərindən); 3.Gömrük yığımları (Avans-Gömrük ödənişlərindən); 4.ƏDV (ƏDV depozit hesabından); 5.ƏDV (Avans-Gömrük ödənişlərindən);
Elektron hesab səhifəsi,"Əlavə dəyər vergisi üzrə yaranmış borcun avans məbləğdən deyil, ƏDV depozit hesabından daxil olan vəsaitdən silinməsi üçün hansı addımlar atılmalıdır?","ƏDV üzrə yaranmış borc ilkin olaraq elektron hesab səhifəsindəki artıq ödəmələr üzrə ƏDV məbləğindən, sonra ƏDV depozit hesabından və əgər ƏDV depozit hesabındakı məbləğ bəyannamə üzrə yaranmış borcu qarşılamırsa avans hesabdan silinir. Qeyd: ƏDV üzrə gömrük borcunun ancaq ƏDV depozit hesabından silinməsi üçün ƏDV depozit hesabda daima kifayət qədər vəsaitin olması tövsiyə edilir."
Elektron hesab səhifəsi,Avans-gömrük ödənişlərində olan məbləğ hansı gömrük ödənişləri üzrə yaranmış gömrük borcu üçün istifadə edilə bilər?,Avans-gömrük ödənişləri üzrə köçürülmüş məbləğ istənilən gömrük ödənişi ilə əlaqədar yaranmış gömrük borcunun ödənilməsi zamanı istifadə edilə bilər.
Elektron hesab səhifəsi,Şəxsin balansının artırılması məqsədilə köçürdüyü vəsait elektron hesab səhifəsində hansı müddətdə öz əksini tapır?,"Şəxsin hökumət ödəniş portalının Dövlət Gömrük Komitəsi üzrə VÖEN-Avans və gömrük bəyannaməsinin nömrəsi bölməsindən, eyni zamanda bankların internet-bank platformalarında olan HÖP bölməsindən apardığı ödənişlər anında, bank köçürmələri və ƏDV depozit hesabından aparılan ödənişlər isə dövlət büdcəsinə daxil olduqdan sonra elektron hesab səhifəsində öz əksini tapır."
Elektron hesab səhifəsi,"Eyni zamanda bir neçə gömrük bəyannaməsi təqdim edilmişdirsə, ilkin olaraq şəxsə zəruri olan bəyannamənin rəsmiləşdirilməsi üçün hansı addımlar atılmalıdır?",Şəxsə zəruri olan gömrük bəyannaməsi gömrük orqanına göndərilərkən həmin bəyannamənin nömrəsi əsasında HÖP üzərindən gömrük bəyannaməsindəki bütün borc məbləğinin ödənilməsi təmin edilməklə.
Elektron hesab səhifəsi,Artıq ödəmə bölməsində olan vəsaiti hansı tədiyyə növləri üzrə yaranmış gömrük borcunun ödənilməsində istifadə etmək olar?,Artıq ödəmə bölməsində olan vəsaitlər yalnız həmin bölmədə qeyd edilən tədiyyə növləri üzrə istifadə edilə bilər.
